function_name,duration,high_res_duration
DistributeOctTree,531726,531807
DistributeOctTree,535573,535644
DistributeOctTree,416877,416907
DistributeOctTree,385777,385807
DistributeOctTree,274324,274404
DistributeOctTree,251140,251180
DistributeOctTree,192238,192278
DistributeOctTree,188511,188550
DistributeOctTree,152221,152251
DistributeOctTree,151329,151359
computeOrientation,636717,636757
computeOrientation,540964,540994
computeOrientation,460500,460520
computeOrientation,447665,447705
computeOrientation,376580,376610
computeOrientation,394905,394945
computeOrientation,315453,315483
computeOrientation,342865,342895
computeOrientation,269825,269856
computeOrientation,276158,276178
computeOrientation,232545,232575
computeOrientation,240599,240630
computeOrientation,175505,175525
computeOrientation,186406,186427
computeOrientation,146991,147021
ComputeKeyPointsOctTree,13205956,13205966
computeOrientation,152702,152722
ComputeKeyPointsOctTree,13513024,13513044
GaussianBlur,156459,156509
GaussianBlur,343196,343226
computeDescriptors,5524858,5524908
GaussianBlur,89541,89581
computeDescriptors,5449113,5449164
GaussianBlur,81005,81035
computeDescriptors,4622474,4622514
GaussianBlur,70685,70705
computeDescriptors,4586135,4586175
GaussianBlur,72328,72358
computeDescriptors,3837623,3837654
GaussianBlur,69353,69383
computeDescriptors,3818086,3818126
GaussianBlur,60997,61026
computeDescriptors,3176310,3176350
GaussianBlur,54003,54033
computeDescriptors,3192060,3192090
GaussianBlur,55005,55035
computeDescriptors,2627111,2627151
GaussianBlur,58892,58932
computeDescriptors,2606783,2606813
GaussianBlur,54444,54474
computeDescriptors,2184424,2184464
GaussianBlur,49054,49084
computeDescriptors,2170718,2170748
GaussianBlur,45567,45587
computeDescriptors,1810740,1810770
GaussianBlur,48723,48763
computeDescriptors,1797444,1797475
GaussianBlur,44174,44204
computeDescriptors,1511528,1511559
computeDescriptors,1524082,1524122
Track,526527935,526528206
GrabImageStereo,574377396,574377475
ComputePyramid,578636,578706
ComputePyramid,879642,879822
DistributeOctTree,1431095,1431125
DistributeOctTree,1570962,1570992
DistributeOctTree,987757,987787
DistributeOctTree,1322267,1322357
DistributeOctTree,674589,674630
DistributeOctTree,542947,543058
DistributeOctTree,687303,687363
DistributeOctTree,393001,393041
DistributeOctTree,526416,526456
DistributeOctTree,272120,272161
DistributeOctTree,192227,192267
DistributeOctTree,151529,151569
DistributeOctTree,397219,397259
computeOrientation,563206,563247
DistributeOctTree,261229,261269
computeOrientation,457504,457524
DistributeOctTree,199441,199461
DistributeOctTree,150848,150898
computeOrientation,374786,374806
computeOrientation,334449,334469
computeOrientation,589025,589065
computeOrientation,285516,285566
computeOrientation,226313,226343
computeOrientation,483203,483243
