function_name,duration,high_res_duration
DistributeOctTree,1415289,1415348
DistributeOctTree,882819,882849
DistributeOctTree,930538,930639
DistributeOctTree,625756,625786
DistributeOctTree,641225,641245
DistributeOctTree,473409,473429
DistributeOctTree,484070,484090
DistributeOctTree,376077,376107
DistributeOctTree,374022,374052
DistributeOctTree,249318,249338
DistributeOctTree,184707,184738
DistributeOctTree,251963,252003
DistributeOctTree,147958,147988
DistributeOctTree,186550,186570
DistributeOctTree,169168,169228
computeOrientation,473760,473840
computeOrientation,337103,337193
computeOrientation,417283,417384
computeOrientation,304732,304832
computeOrientation,341061,341131
computeOrientation,293171,293261
computeOrientation,288893,288973
computeOrientation,327936,328016
computeOrientation,286769,286829
computeOrientation,303209,303290
computeOrientation,298621,298681
computeOrientation,304863,304953
computeOrientation,305174,305254
computeOrientation,280287,280357
ComputeKeyPointsOctTree,12519640,12519670
computeOrientation,282100,282170
GaussianBlur,213150,213191
computeOrientation,258906,259227
ComputeKeyPointsOctTree,12615770,12615800
GaussianBlur,185378,185458
computeDescriptors,5518668,5518708
GaussianBlur,84148,84229
computeDescriptors,5538335,5538385
GaussianBlur,167505,167565
computeDescriptors,4590855,4590885
GaussianBlur,75912,75992
computeDescriptors,4573743,4573803
GaussianBlur,71455,71525
computeDescriptors,3787575,3787605
GaussianBlur,69962,70002
computeDescriptors,3762086,3762106
GaussianBlur,140083,140134
computeDescriptors,3162902,3162932
GaussianBlur,96972,97002
computeDescriptors,3123438,3123458
GaussianBlur,54342,54372
computeDescriptors,2630312,2630342
computeDescriptors,2613260,2613270
GaussianBlur,326143,326193
GaussianBlur,53381,53431
computeDescriptors,2180295,2180316
GaussianBlur,49683,49743
computeDescriptors,2182169,2182219
GaussianBlur,39855,39894
computeDescriptors,1803839,1803849
GaussianBlur,42770,42800
computeDescriptors,1826070,1826120
GaussianBlur,43642,43702
computeDescriptors,1518583,1518603
computeDescriptors,1507603,1507633
Track,991795867,991796128
GrabImageStereo,1040368650,1040368740
ComputePyramid,692952,693073
ComputePyramid,915470,915610
DistributeOctTree,1358292,1358352
DistributeOctTree,1343154,1343214
DistributeOctTree,913807,913837
DistributeOctTree,910470,910500
DistributeOctTree,650121,650141
DistributeOctTree,631777,631807
DistributeOctTree,507523,507553
DistributeOctTree,487125,487155
DistributeOctTree,379413,379442
DistributeOctTree,373742,373772
DistributeOctTree,257092,257103
DistributeOctTree,244208,244239
DistributeOctTree,187903,187923
DistributeOctTree,185338,185358
DistributeOctTree,148910,148930
DistributeOctTree,148058,148078
computeOrientation,554010,554081
computeOrientation,502835,502935
computeOrientation,316535,316624
computeOrientation,345569,345640
computeOrientation,302549,302619
computeOrientation,331303,331383
computeOrientation,283232,283312
computeOrientation,278423,278504
computeOrientation,265880,265970
computeOrientation,276350,276429
computeOrientation,278604,278644
computeOrientation,262233,262303
computeOrientation,256652,256742
computeOrientation,268595,268675
computeOrientation,261331,261412
ComputeKeyPointsOctTree,12677026,12677036
computeOrientation,235012,235091
ComputeKeyPointsOctTree,12499202,12499232
GaussianBlur,156794,156875
